Countries,Speed in Mbps
Country,Mbps
                                  Grenada                                ,43.63
                                  The Bahamas                                ,39.83
                                  Saint Vincent and the Grenadines                                ,38.72
                                  Belize                                ,38.43
                                  Ghana                                ,38.29
                                  Mexico                                ,38.15
                                  Croatia                                ,37.92
                                  Argentina                                ,37.85
                                  India                                ,35.96
                                  Kyrgyzstan                                ,35.77
                                  Costa Rica                                ,35.46
                                  South Africa                                ,34.89
                                  Paraguay                                ,34.30
                                  Laos                                ,34.16
                                  Bosnia and Herzegovina                                ,34.07
                                  Oman                                ,33.91
                                  Jamaica                                ,33.47
                                  Mongolia                                ,31.72
                                  Albania                                ,31.69
                                  Madagascar                                ,30.96
                                  Saint Lucia                                ,30.68
                                  Colombia                                ,30.59
                                  North Macedonia                                ,29.11
                                  Dominica                                ,29.07
                                  Greece                                ,29.05
                                  Cyprus                                ,29.04
                                  Guyana                                ,27.93
                                  Côte d'Ivoire                                ,27.62
                                  Iraq                                ,27.47
                                  Armenia                                ,26.80
                                  Bahrain                                ,26.57
                                  Uzbekistan                                ,26.48
                                  Saint Kitts and Nevis                                ,25.68
                                  Turkey                                ,25.35
                                  Peru                                ,24.93
                                  Bangladesh                                ,24.80
                                  Georgia                                ,24.77
                                  Sri Lanka                                ,24.48
                                  Fiji                                ,24.31
                                  Tajikistan                                ,24.10
                                  Gabon                                ,23.63
                                  Seychelles                                ,23.56
                                  Congo                                ,23.09
                                  Dominican Republic                                ,22.98
                                  Ecuador                                ,22.93
                                  Philippines                                ,22.31
                                  Cambodia                                ,21.83
                                  Egypt                                ,21.37
                                  Azerbaijan                                ,20.82
                                  Lebanon                                ,20.62
                                  Cape Verde                                ,20.50
                                  Indonesia                                ,19.79
                                  Togo                                ,19.73
                                  Nepal                                ,18.58
                                  Liberia                                ,18.52
                                  Senegal                                ,18.46
                                  Mali                                ,18.01
                                  Republic of the Union of Myanmar                                ,18.00
                                  Mauritius                                ,17.55
                                  Rwanda                                ,17.49
                                  Bolivia                                ,17.44
                                  Swaziland                                ,17.34
                                  Kenya                                ,16.39
                                  Iran                                ,15.75
                                  Honduras                                ,15.66
                                  Maldives                                ,15.32
                                  Angola                                ,15.30
                                  Somalia                                ,15.13
                                  Bhutan                                ,14.96
                                  Antigua and Barbuda                                ,14.85
                                  Morocco                                ,14.75
                                  Palestine                                ,14.65
                                  El Salvador                                ,14.29
                                  Nicaragua                                ,14.18
                                  Haiti                                ,13.82
                                  Guatemala                                ,13.68
                                  Western Sahara                                ,13.07
                                  Uganda                                ,12.59
                                  Zambia                                ,12.49
                                  Zimbabwe                                ,12.25
                                  Tanzania                                ,12.05
                                  Suriname                                ,11.84
